Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
142,Joel Embiid,C,28,PHI,64,64,34.6,10.9,20.2,0.542,1,3.1,0.33,9.9,17.1,0.58,0.567,10.1,11.8,0.858,1.7,8.4,10.2,4.2,1,1.7,3.5,3.1,33
143,Drew Eubanks,C,25,POR,76,26,20.1,2.6,4.1,0.648,0.1,0.2,0.333,2.6,3.9,0.661,0.655,1.1,1.6,0.664,1.7,3.6,5.3,1.3,0.5,1.2,0.9,2.2,6.4
144,Bruno Fernando,C,24,TOT,36,4,10.5,1.4,2.7,0.51,0,0,0,1.4,2.7,0.515,0.51,0.9,1.3,0.696,1.4,2.1,3.5,0.9,0.2,0.9,0.6,1.9,3.7
144,Bruno Fernando,C,24,HOU,31,4,11.7,1.5,3,0.516,0,0,0,1.5,3,0.522,0.516,1,1.4,0.682,1.5,2.4,3.9,1,0.2,1,0.6,2.2,4.1
144,Bruno Fernando,C,24,ATL,5,0,3,0.4,1,0.4,0,0,,0.4,1,0.4,0.4,0.4,0.4,1,0.4,0.4,0.8,0.2,0,0.2,0.4,0.2,1.2
145,Dorian Finney-Smith,PF,29,TOT,64,64,30.5,3,7.6,0.389,1.7,5.1,0.331,1.3,2.5,0.51,0.501,0.7,0.9,0.763,1.7,3,4.8,1.5,0.8,0.5,0.9,2.2,8.3
145,Dorian Finney-Smith,PF,29,DAL,40,40,32.2,3.2,7.8,0.416,1.9,5.4,0.355,1.3,2.3,0.559,0.54,0.8,1,0.75,1.7,3,4.7,1.5,1,0.5,0.9,2,9.1
145,Dorian Finney-Smith,PF,29,BRK,24,24,27.7,2.5,7.3,0.341,1.3,4.7,0.286,1.2,2.7,0.438,0.432,0.6,0.8,0.789,1.8,3,4.8,1.6,0.7,0.6,1,2.4,7
146,Malachi Flynn,PG,24,TOR,50,1,12.9,1.6,4.5,0.347,0.9,2.6,0.349,0.7,1.9,0.344,0.447,0.4,0.6,0.724,0.3,1.1,1.4,1.3,0.4,0.1,0.5,1.2,4.4
147,Simone Fontecchio,SF,27,UTA,48,6,13.9,2,5.5,0.361,1.1,3.4,0.327,0.9,2.1,0.416,0.462,0.7,0.9,0.786,0.5,0.9,1.4,0.8,0.3,0.2,0.7,1.1,5.8
148,Bryn Forbes,SG,29,MIN,25,0,10.7,1.2,3.3,0.361,0.6,1.8,0.304,0.6,1.5,0.432,0.446,0.6,0.6,1,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6
149,Trent Forrest,PG,24,ATL,20,3,12.3,1.2,2.6,0.471,0,0.1,0,1.2,2.5,0.49,0.471,0.1,0.2,0.667,0.3,1.3,1.6,1.6,0.3,0.1,0.6,0.8,2.5
150,Michael Foster Jr.,PF,20,PHI,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
151,Evan Fournier,SG,30,NYK,24,7,17.5,2.2,6.3,0.349,1.4,4.3,0.32,0.8,2,0.408,0.457,0.8,0.9,0.857,0.2,1.8,2,1.5,0.6,0.1,0.9,1.8,6.5
152,De'Aaron Fox,PG,25,SAC,70,70,33.7,9.4,18.2,0.516,1.6,5,0.327,7.7,13.1,0.588,0.561,4.8,6.2,0.777,0.5,3.7,4.2,6.1,1.2,0.3,2.5,2.4,25.2
153,Markelle Fultz,PG,24,ORL,57,57,30.1,5.8,11.4,0.512,0.4,1.4,0.305,5.4,9.9,0.541,0.531,1.9,2.5,0.782,1.2,2.8,4,5.7,1.5,0.5,2.4,2.2,14
154,Wenyen Gabriel,PF,25,LAL,64,2,15.2,2.3,3.9,0.596,0.2,0.5,0.294,2.2,3.4,0.644,0.616,0.8,1.3,0.619,1.8,2.4,4.2,0.5,0.4,0.5,0.7,2.2,5.6
155,Daniel Gafford,C,24,WAS,75,44,20.5,3.5,4.9,0.726,0,0,,3.5,4.9,0.726,0.726,1.5,2.3,0.657,2.1,3.4,5.4,1,0.4,1.3,1.1,2.4,8.6
156,Darius Garland,PG,23,CLE,68,68,35.4,7.6,16.4,0.464,2.5,6,0.412,5.1,10.4,0.494,0.539,4,4.7,0.862,0.4,2.3,2.7,7.8,1.3,0.1,2.9,2.2,21.7
157,Usman Garuba,PF,20,HOU,72,1,13,1.2,2.3,0.503,0.3,0.7,0.453,0.8,1.6,0.526,0.575,0.4,0.6,0.609,1.6,2.5,4.1,0.9,0.6,0.4,0.6,1.8,3.1
158,Luka Garza,C,24,MIN,27,0,8.8,2.3,4.1,0.55,0.5,1.4,0.368,1.7,2.7,0.644,0.613,1.5,1.9,0.788,1.1,1.1,2.2,0.7,0.1,0.1,0.5,1.6,6.6
159,Rudy Gay,PF,36,UTA,56,0,14.6,1.9,5.1,0.38,0.6,2.3,0.254,1.4,2.8,0.484,0.437,0.8,0.9,0.857,0.6,2.3,2.9,1,0.3,0.3,0.7,1.2,5.2
160,Paul George,SG,32,LAC,56,56,34.6,8.2,17.9,0.457,2.8,7.6,0.371,5.4,10.3,0.521,0.536,4.6,5.3,0.871,0.8,5.3,6.1,5.1,1.5,0.4,3.1,2.8,23.8
161,Taj Gibson,C,37,WAS,49,2,9.8,1.3,2.6,0.52,0.2,0.5,0.333,1.2,2.1,0.564,0.552,0.6,0.9,0.714,0.7,1.2,1.9,0.7,0.3,0.2,0.5,1.7,3.4
162,Josh Giddey,SG,20,OKC,74,74,31.1,7.1,14.7,0.483,1,3,0.326,6.1,11.7,0.524,0.517,1.4,1.9,0.736,2,5.9,7.9,6.2,0.7,0.4,2.8,1.9,16.6
