Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Column1,OWS,DWS,WS,WS/48,2,OBPM,DBPM,BPM,VORP
352,Aaron Nesmith,SF,23,IND,70,1748,10.2,0.56,0.534,0.232,3.9,13,8.5,7.5,1.4,1.5,10.6,16.8,,0.7,1.1,1.8,0.049,,-2.4,-0.7,-3.1,-0.5
188,Jaden Hardy,SG,20,DAL,45,650,14.3,0.577,0.475,0.259,1.6,13,7.2,14.6,1.3,0.8,12,26.2,,0.2,0.5,0.7,0.049,,-0.6,-1.7,-2.3,0
23,Paolo Banchero,PF,20,ORL,71,2392,15,0.529,0.254,0.477,3.8,19.2,11.5,17.1,1.2,1.6,12.7,27.5,,-0.2,2.6,2.4,0.049,,-0.7,-0.7,-1.4,0.3
393,Taurean Prince,SF,28,MIN,51,1109,9.8,0.599,0.514,0.198,1.3,10.8,6.2,10,1.2,1.2,15.2,17.2,,0.2,0.9,1.1,0.049,,-2.7,-0.5,-3.3,-0.3
471,Juan Toscano-Anderson,SF,29,TOT,48,616,7.6,0.551,0.278,0.165,4.1,14.7,9.5,10.5,1.1,1.2,19.6,10.5,,0.1,0.6,0.6,0.049,,-4.4,0.9,-3.5,-0.2
328,Patty Mills,PG,34,BRK,39,531,11.4,0.562,0.631,0.116,1.7,7,4.4,14.4,1.3,0.5,11.1,19.6,,0.2,0.3,0.5,0.048,,-0.8,-1.5,-2.4,0
114,Dewayne Dedmon,C,33,PHI,6,43,11.2,0.46,0.1,0.2,11.2,24.3,17.9,9.7,1.2,10.8,21.6,14.4,,0,0.1,0,0.048,,-6,2.2,-3.7,0
186,Tim Hardaway Jr.,SG,30,DAL,70,2116,11.9,0.55,0.651,0.194,1.2,12.7,6.9,8.9,1.2,0.5,6.2,20.6,,0.8,1.3,2.1,0.048,,-0.4,-1.5,-1.9,0.1
407,Josh Richardson,SG,29,SAS,42,997,13.7,0.556,0.51,0.148,3.2,10.2,6.5,19.4,1.9,0.9,12.7,20.6,,0.6,0.4,1,0.047,,-0.1,-1,-1.1,0.2
463,Daniel Theis,C,30,IND,7,109,14.3,0.497,0.25,0.273,7.1,15.3,11.2,12.2,0.9,4.8,5.7,20.1,,0,0.1,0.1,0.047,,-0.9,-0.5,-1.4,0
458,Jae'Sean Tate,SF,27,HOU,31,677,12.2,0.546,0.201,0.301,6.6,12.7,9.6,18.3,1.5,1,15.3,18.8,,0.4,0.2,0.7,0.046,,-2.8,-0.8,-3.5,-0.3
464,Cam Thomas,SG,21,BRK,55,900,14.3,0.56,0.292,0.391,1,10.4,5.8,13,1,0.6,10.4,27.4,,0.2,0.6,0.9,0.046,,-1,-1.9,-2.9,-0.2
70,Thomas Bryant,C,25,DEN,17,184,10.6,0.523,0.1,0.3,11.6,20.8,16.3,1.4,0.5,2.9,12.8,18.4,,0,0.2,0.2,0.046,,-5.6,-2.6,-8.2,-0.3
89,Kennedy Chandler,PG,20,MEM,34,269,10.5,0.437,0.19,0.165,2.8,11,6.9,27.1,2.1,1.7,16.7,15.7,,-0.1,0.4,0.3,0.045,,-3.5,0.8,-2.6,0
358,Jaylen Nowell,SG,23,MIN,65,1252,13.7,0.527,0.371,0.158,3.3,11.8,7.6,16,1.6,0.4,8.9,25,,0,1.1,1.2,0.045,,-1.5,-1,-2.5,-0.2
414,David Roddy,PF,21,MEM,66,1135,8.9,0.519,0.507,0.171,4.5,12.3,8.4,5.7,1.2,1.4,11.3,16.9,,-0.3,1.3,1.1,0.045,,-3.2,-0.5,-3.7,-0.5
87,Julian Champagnie,SF,21,TOT,13,202,11.5,0.602,0.644,0.082,3.1,16.4,9.5,2.8,0.9,1.6,8.5,17,,0.1,0.1,0.2,0.045,,-1.8,-2.6,-4.4,-0.1
421,Matt Ryan,SF,25,TOT,33,306,8.3,0.543,0.776,0.112,1.5,7.6,4.6,6.5,0.8,0.3,5.9,16.6,,0.1,0.2,0.3,0.045,,-1.7,-1.5,-3.2,-0.1
298,Théo Maledon,PG,21,CHO,41,735,11.1,0.503,0.392,0.307,1.7,14.3,7.8,23.2,1.9,1.3,16.1,16.4,,0,0.7,0.7,0.044,,-3.2,0.4,-2.7,-0.1
306,Cody Martin,SF,27,CHO,7,134,8.8,0.448,0.389,0.194,6.2,13,9.5,10.9,1.4,0.6,4.9,12.9,,0,0.1,0.1,0.044,,-3.8,-0.8,-4.6,-0.1
267,Kevin Knox,PF,23,DET,42,593,10.3,0.612,0.648,0.184,3.6,17,10.1,3.7,1.1,1.8,14.2,16.2,,0.2,0.3,0.5,0.044,,-2.2,-0.7,-2.8,-0.1
29,RJ Barrett,SG,22,NYK,71,2402,12.9,0.532,0.333,0.333,2.7,13.8,8.2,12.2,0.6,0.6,11,26.2,,0.4,1.8,2.2,0.044,,-1.2,-1.8,-3.1,-0.6
93,Jordan Clarkson,SG,30,UTA,61,1988,14.7,0.558,0.445,0.238,4,9.4,6.7,21,0.8,0.6,14,27.8,,1,0.8,1.8,0.043,,1,-2.4,-1.4,0.3
50,Brandon Boston Jr.,SG,21,LAC,21,247,13.4,0.519,0.24,0.314,3.2,9.9,6.6,12,1.8,0,8,26.5,,0,0.2,0.2,0.042,,-1.6,-0.6,-2.2,0
224,Andre Iguodala,SF,39,GSW,8,113,7.3,0.521,0.6,0.2,3,13.5,8.3,20.4,1.7,2.3,35.5,9.4,,0,0.1,0.1,0.042,,-4.5,1.6,-2.9,0
310,Bennedict Mathurin,SF,20,IND,75,2115,13.3,0.566,0.333,0.467,4.4,11.6,8,7.1,1,0.5,11.2,24.5,,1,0.8,1.8,0.042,,-1,-2.5,-3.5,-0.8
36,Malik Beasley,SG,26,UTA,55,1472,11.5,0.535,0.704,0.066,2,12.4,7.2,9.1,1.4,0.5,8,21.2,,0.3,1,1.3,0.041,,-0.4,-1.2,-1.6,0.1
377,Theo Pinson,SG,27,DAL,38,252,7.8,0.486,0.721,0.18,3.7,16.5,10,16.6,0.8,0.4,13.2,13.6,,0.1,0.2,0.2,0.041,,-3.2,-1,-4.2,-0.1
67,Sterling Brown,SG,27,LAL,4,24,7,0,0.5,0,13.9,21.5,17.8,9.5,5.9,0,0,7,,0,0.1,0,0.04,,-8.4,5.2,-3.3,0
357,Nerlens Noel,C,28,DET,14,152,10,0.465,0.067,0.333,4.9,22.5,13.5,6.2,4.1,5.2,18.9,11.9,,-0.1,0.3,0.1,0.04,,-5.1,3.1,-2,0
371,Eugene Omoruyi,SF,25,TOT,38,605,10.8,0.531,0.38,0.315,7.2,11.9,9.5,6,2,0.4,11.2,19.3,,0,0.5,0.5,0.04,,-3.7,-1,-4.7,-0.4
272,Vit Krejci,PG,22,ATL,26,140,7.3,0.502,0.576,0.061,2.3,11.9,7,12.2,1,0.6,10.6,11.4,,0,0.1,0.1,0.04,,-3.9,0.5,-3.4,0
471,Juan Toscano-Anderson,SF,29,UTA,18,251,7.7,0.542,0.245,0.082,3.9,16.6,10.4,13.3,0.8,0.7,20.4,10.6,,0,0.2,0.2,0.04,,-4.1,0.4,-3.8,-0.1
290,Isaiah Livers,PF,24,DET,51,1175,8.2,0.561,0.706,0.129,2.6,10.9,6.6,4.7,1.2,2.1,9,11.7,,0.5,0.5,1,0.039,,-2.2,-0.3,-2.5,-0.2
