"Ricky Nelson","Prairie View A&M",SWAC,22,45.1,95.4,12,39.5,47.34,1,7,23.6,27.2,25,29,0.862,12,42,0.286,12,34,0.353,0,1.5,38.2,Sr,6-1,55,-0.402012,82.5048,2.5,2023,50666,"Houston, TX",37.4,2.25005626,6,12,6,30,0.5000,0.2000,0,0,,,103.067,108.267,1.78689,80.1453,-4.87424,-3.38235,-1.49189,-5.6345,24.2917,-4.89914,-0.73536,0.2083,1.3333,1.5417,3.0000,0.5833,0.0000,3.6250,"Scoring PG",3.59429
"Will Douglas","Prairie View A&M",SWAC,29,66.4,98.6,30,46.1,51.69,5.2,15.7,18.9,18.9,103,128,0.805,124,275,0.451,28,85,0.329,0.4,2.6,35.6,Sr,6-5,4,2.01027,108.329,3.7,2023,50683,"Memphis, TN",66.8,0.76189246,59,106,65,169,0.5566,0.3846,12,14,0.8571,,97.0382,101.448,2.64455,156.415,-0.175635,-0.317965,0.14233,0.878665,27.9677,0.566881,0.311785,1.2581,3.5484,4.8065,2.0645,1.2581,0.0968,15.0323,"Wing G",6.10325
"Justyn Mutts","Virginia Tech",ACC,33,80.5,110.9,24.1,58.7,59.46,7,19.1,26.8,21.1,61,99,0.616,170,283,0.601,13,40,0.325,2.6,2.6,30.7,Sr,6-7,25,3.75069,119.798,3,2023,50689,"Millville, NJ",25.8,1.63441200,128,184,42,99,0.6957,0.4242,18,20,0.9000,,100.209,96.2909,3.79081,229.345,6.89955,3.34545,3.5541,6.74049,33.3030,4.15689,2.5836,1.9091,5.4242,7.3333,4.6061,1.4545,0.8182,13.3333,"Wing G",2.1874
"Sarju Patel",Albany,AE,29,66.8,104.9,15.5,48.3,50.34,4.9,12.2,8.2,11.2,27,39,0.692,43,89,0.483,36,112,0.321,0.3,1.5,19.4,Sr,6-3,13,0.840712,96.2884,2.9,2023,50697,"Daleville, VA",,1.41668811,33,61,10,28,0.5410,0.3571,0,0,,,113.742,116.228,1.20414,118.527,-3.27249,-0.352658,-2.91983,-3.28542,26.6774,-0.752032,-2.53339,1.1290,2.5806,3.7097,1.0968,0.7742,0.0645,7.8387,"Wing G",8.50505
"Victor Enoh","UNC Wilmington",CAA,14,8.9,91.8,9.9,41.7,34.78,16.1,19.5,0,16.1,0,5,0,5,12,0.417,0,0,0,0,0,41.7,Sr,6-8,12,-0.254491,78.2901,5.9,2023,50699,"Decatur, GA",41.6,0.33349998,5,12,0,0,0.4167,,0,0,,,102.02,101.617,0.786744,17.7029,-10.0367,-5.27653,-4.76015,-5.64802,8.4000,-3.37222,-2.27581,1.1333,1.3333,2.4667,0.0667,0.0000,0.0000,1.0667,C,0
"Jamal Johnson",Chattanooga,SC,32,77,114.3,20.9,56.6,60.77,3,13.9,8.4,14.1,94,116,0.81,52,106,0.491,88,219,0.402,1.6,1.9,35.7,Sr,6-4,5,2.72729,112.723,2.7,2023,50709,"Birmingham, AL",67.8,0.84318166,38,69,14,37,0.5507,0.3784,0,0,,,107.983,108.43,2.22308,175.403,1.34625,2.41603,-1.06978,2.26416,29.8857,3.20989,-0.945728,0.7429,3.6000,4.3429,1.2286,1.0286,0.3714,13.8571,"Wing G",12.9108
"Dan Akin","Utah St.",MWC,34,66.8,120.3,19.7,67.2,69.07,7.3,22.6,6.9,18.1,124,177,0.701,141,211,0.668,1,1,1,2.7,1.1,83.5,Sr,6-9,30,3.46936,124.629,4.3,2023,50718,"London, England",,0.55174706,129,187,12,24,0.6898,0.5000,49,52,0.9423,,98.538,94.7188,3.19939,188.228,4.40814,1.95893,2.44921,4.6121,26.8857,2.69899,1.9131,1.4857,5.3143,6.8000,0.9143,0.5143,0.6857,11.9714,PF/C,0.063771
"Abayomi Iyiola","Kansas St.",B12,31,24,105.4,16.4,55.9,61.25,10.2,18.6,5.2,24.7,30,39,0.769,38,67,0.567,0,1,0,3.5,1.6,57.4,Sr,6-10,23,0.757755,106.894,6,2023,50741,"Ibadan, Nigeria",,0.40000000,34,50,4,17,0.6800,0.2353,4,4,1.0000,,96.0362,91.1018,1.46798,72.4355,1.80821,-1.04201,2.85022,1.34731,11.3226,-1.17377,2.52108,0.9355,1.8387,2.7742,0.3226,0.3226,0.3548,3.4194,C,0.161481
"Taylor Funk","Utah St.",MWC,34,76.2,114,20.3,56,58.39,5,15.6,11.2,12.9,45,50,0.9,83,146,0.568,81,219,0.37,2.5,1.7,13.7,Sr,6-9,23,3.36606,119.048,2.5,2023,50749,"Lancaster, PA",47.8,1.25528060,62,92,21,54,0.6739,0.3889,11,12,0.9167,,100.141,96.2594,3.48551,201.659,6.70737,4.35603,2.35134,6.10132,30.5882,4.58622,1.5151,1.2059,4.2647,5.4706,1.7353,0.8824,0.7353,13.3529,"Stretch 4",12.243
"Hunter Maldonado",Wyoming,MWC,28,80.7,107.5,26.8,52.2,57.98,3.8,14,25.9,19.8,129,172,0.75,120,229,0.524,23,67,0.343,1,2.2,58.1,Sr,6-7,24,4.00855,120.462,3.1,2023,50768,"Colorado Springs, CO",,1.36047883,80,139,40,90,0.5755,0.4444,7,7,1.0000,,108.233,104,3.04096,171.882,3.49018,2.79536,0.694823,2.8299,34.5172,2.29715,0.532757,1.0345,3.7931,4.8276,4.0345,1.3793,0.2759,15.5517,"Wing G",4.17272
